price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,manufacturer
9400,2011,bmw x5,good,6.0,gas,145000.0,automatic,SUV,color_unknown,1.0,bmw
25500,0,ford f-150,good,6.0,gas,88705.0,automatic,pickup,white,1.0,ford
5500,2013,hyundai sonata,like new,4.0,gas,110000.0,automatic,sedan,red,0,hyundai
1500,2003,ford f-150,fair,8.0,gas,,automatic,pickup,color_unknown,0,ford
14900,2017,chrysler 200,excellent,4.0,gas,80903.0,automatic,sedan,black,0,chrysler
14990,2014,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,1.0,chrysler
12990,2015,toyota camry,excellent,4.0,gas,79212.0,automatic,sedan,white,0,toyota
15990,2013,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,1.0,honda
11500,2012,kia sorento,excellent,4.0,gas,104174.0,automatic,SUV,color_unknown,1.0,kia
9200,2008,honda pilot,excellent,,gas,147191.0,automatic,SUV,blue,1.0,honda
19500,2011,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,1.0,chevrolet
8990,2012,honda accord,excellent,4.0,gas,111142.0,automatic,sedan,grey,0,honda
18990,2012,ram 1500,excellent,8.0,gas,140742.0,automatic,pickup,color_unknown,1.0,ram
16500,2018,hyundai sonata,excellent,4.0,gas,22104.0,automatic,sedan,silver,0,hyundai
12990,2009,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,1.0,gmc
17990,2013,ram 1500,excellent,8.0,gas,,automatic,pickup,red,1.0,ram
14990,2010,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,1.0,ram
13990,2014,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,1.0,jeep
12500,2013,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,1.0,chevrolet
13990,2018,hyundai elantra,excellent,4.0,gas,31932.0,automatic,sedan,red,0,hyundai
6990,0,chevrolet tahoe,excellent,8.0,gas,147485.0,automatic,SUV,silver,1.0,chevrolet
5250,2007,toyota rav4,good,6.0,gas,154000.0,automatic,SUV,color_unknown,0,toyota
7500,2004,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,1.0,chevrolet
7500,2004,jeep wrangler,good,6.0,gas,,automatic,SUV,red,1.0,jeep
3950,2009,chrysler 200,excellent,4.0,gas,,automatic,sedan,red,0,chrysler
11499,2017,chevrolet malibu,like new,4.0,gas,,automatic,sedan,color_unknown,0,chevrolet
8499,2014,ford fusion se,like new,4.0,gas,79523.0,automatic,sedan,red,0,ford
12999,2015,chevrolet impala,like new,6.0,gas,39368.0,automatic,sedan,custom,0,chevrolet
29800,2012,chevrolet corvette,excellent,8.0,gas,57413.0,automatic,coupe,orange,0,chevrolet
5495,2010,chevrolet impala,excellent,6.0,gas,,automatic,sedan,white,0,chevrolet
5000,2009,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,1.0,jeep
11999,2017,toyota camry le,excellent,4.0,gas,35721.0,automatic,sedan,color_unknown,0,toyota
9499,2015,nissan altima,like new,4.0,gas,51848.0,automatic,sedan,grey,0,nissan
3890,2011,subaru outback,excellent,4.0,gas,300000.0,automatic,SUV,white,1.0,subaru
9500,2008,toyota highlander,good,6.0,gas,149799.0,automatic,SUV,color_unknown,0,toyota
14999,2015,dodge charger,good,6.0,gas,63037.0,automatic,sedan,color_unknown,0,dodge
10499,2013,chrysler 300,good,,gas,88042.0,automatic,sedan,color_unknown,0,chrysler
7500,2005,toyota tacoma,good,,gas,160000.0,automatic,pickup,color_unknown,0,toyota
7999,2015,chrysler 200,good,4.0,gas,,automatic,sedan,color_unknown,0,chrysler
8000,2009,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,1.0,ford
11499,2017,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1.0,chevrolet
11995,2017,nissan rogue,like new,4.0,gas,,automatic,SUV,silver,1.0,nissan
34900,2013,mercedes-benz benze sprinter 2500,excellent,6.0,diesel,,automatic,van,black,0,mercedes-benz
5100,2008,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,1.0,honda
4500,2004,jeep grand cherokee,good,6.0,gas,168821.0,automatic,SUV,color_unknown,1.0,jeep
2400,2001,toyota camry,good,4.0,gas,277564.0,automatic,coupe,yellow,0,toyota
11200,2015,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,1.0,dodge
12500,2008,toyota 4runner,good,6.0,gas,141098.0,automatic,SUV,grey,0,toyota
9500,2014,ford focus,excellent,4.0,diesel,46000.0,automatic,sedan,color_unknown,0,ford
3200,2006,honda civic,excellent,4.0,gas,255390.0,automatic,sedan,blue,0,honda
6200,2006,ford f-150,excellent,6.0,gas,69698.0,automatic,truck,custom,0,ford
3800,2012,ford focus,good,4.0,gas,130323.0,automatic,sedan,black,0,ford
3300,2011,kia soul,good,4.0,gas,188963.0,manual,SUV,black,0,kia
10400,2012,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,1.0,chevrolet
30300,2017,ford f150 supercrew cab xlt,good,6.0,gas,30339.0,automatic,pickup,brown,1.0,ford
